Date	Subscribers	Views		Subscriber 2	Views 2		Subscibers 3	Views 3		Subscribers 4	Views 4
8-Oct-20	2810000			173000			19900				
9-Oct-20	2820000	455646414									
10-Oct-20	2830000			174000			20000				
11-Oct-20	2840000						20100				
12-Oct-20	2850000			175000			20200				
13-Oct-20	2870000			176000							
14-Oct-20							20300	283253			
15-Oct-20	2880000			177000			20400				
16-Oct-20	2890000			178000			20500				
17-Oct-20	2980000	467409209					20600				
18-Oct-20	3000000			179000			20700				
19-Oct-20	3030000			180000			20800				
20-Oct-20	3040000			181000			20900				
21-Oct-20	3060000						21000				
22-Oct-20	3070000			182000			21100	293703			
23-Oct-20	3080000			183000			21200				
24-Oct-20	3100000			184000			21300				
25-Oct-20	3120000	475562632		234000			21400				
26-Oct-20	3130000			284000			21500				
27-Oct-20	3140000			334000			21600				
28-Oct-20	3160000			356000			21700				
29-Oct-20	3170000			364000			21800				
30-Oct-20	3180000			367000			21900	307142			
31-Oct-20	3200000			373000			22000				
1-Nov-20	3220000	486640389		377000	4314219		22100	309009			785
2-Nov-20	3240000	488756946		382000			22200				
3-Nov-20	3260000			383000			22300				
4-Nov-20	3280000			385000			22400				
5-Nov-20	3300000			387000			22500				
6-Nov-20	3310000			391000			22600				
7-Nov-20	3330000			392000			22700	320643			
8-Nov-20	3340000			394000			22800				
9-Nov-20	3350000			396000							
10-Nov-20	3360000	502700950		397000			22900				
11-Nov-20	3380000										
12-Nov-20				399000			23000				
13-Nov-20	3390000			401000			23100				
14-Nov-20	3420000			411000							
15-Nov-20	3430000			422000			23200	327944			
16-Nov-20	3460000			424000			23300				
17-Nov-20	3510000			427000							
18-Nov-20	3530000	513662488		430000			23400				
19-Nov-20	3550000			432000			23500				
20-Nov-20	3560000			433000			23700				
21-Nov-20	3580000			435000			23900				
22-Nov-20	3590000			437000			24100				
23-Nov-20	3600000			438000			24300	343800			
24-Nov-20	3610000			439000			24500				
25-Nov-20	3630000			440000			24700				
26-Nov-20	3640000	524698132		442000			24900				
27-Nov-20				443000			25100				
